Личный номер,ФИО,Группа,Финансирование,Пол,Город постоянной регистрации
23И9473,Пелагея Антоновна Тетерина,ИВБО-68-21,К,Ж,Курган
21И2424,Вероника Аскольдовна Вишнякова,ИВБО-68-21,Б,Ж,Санкт-Петербург
23И1147,Субботина Прасковья Эдуардовна,ИВБО-68-21,Б,Ж,Кемерово
22И3601,Тамара Болеславовна Горбачева,ИВБО-68-21,К,Ж,Рязань
23И3394,Калашникова Ия Андреевна,ИВБО-68-21,К,Ж,Иваново
21И7880,Анастасия Макаровна Карпова,ИВБО-68-21,Б,Ж,Владивосток
23И9577,Фомина Евдокия Михайловна,ИВБО-68-21,Б,Ж,Мариуполь
21И8081,Галкина Наталья Андреевна,ИВБО-68-21,К,Ж,Новороссийск
20И1673,Милован Демидович Борисов,ИВБО-68-21,К,М,Нижний Новгород
20И2919,Нинель Тимуровна Мишина,ИВБО-68-21,Б,Ж,Нижневартовск
21И1742,Кузьмина Синклитикия Никифоровна,ИВБО-68-21,Б,Ж,Омск
20И7962,тов. Ермакова Анжела Тарасовна,ИВБО-68-21,К,Ж,Красноярск
20И4654,Раиса Дмитриевна Кузьмина,ИВБО-68-21,Б,Ж,Тверь
20И1385,Журавлева Татьяна Вячеславовна,ИВБО-68-21,Б,Ж,Кемерово
23И1852,Елизавета Эдуардовна Гордеева,ИВБО-68-21,К,Ж,Екатеринбург
23И3273,Беспалова Евгения Валентиновна,ИВБО-68-21,Б,Ж,Сочи
21И3993,Ковалева Прасковья Святославовна,ИВБО-68-21,Б,Ж,Липецк
23И1148,г-жа Чернова Наина Оскаровна,ИВБО-68-21,Б,Ж,Красноярск
21И0259,Иван Игнатьевич Ширяев,ИВБО-98-20,К,М,Белгород
23И7950,Жданова Дарья Робертовна,ИВБО-98-20,Б,Ж,Старый Оскол
23И8920,Богдан Марсович Тарасов,ИВБО-98-20,Б,М,Пермь
22И7772,Акулина Сергеевна Виноградова,ИВБО-98-20,К,Ж,Магнитогорск
21И4071,Стоян Антипович Евсеев,ИВБО-98-20,Б,М,Сыктывкар
20И3121,Некрасов Ермолай Эдгардович,ИВБО-98-20,Б,М,Липецк
23И2912,Шаров Рубен Давыдович,ИВБО-98-20,К,М,Волгоград
20И3701,Михей Денисович Авдеев,ИВБО-98-20,К,М,Волгоград
20И5871,Евгений Ерофеевич Белоусов,ИВБО-98-20,К,М,Хабаровск
21И7986,Дарья Георгиевна Назарова,ИВБО-98-20,К,Ж,Челябинск
21И2797,Медведев Ян Устинович,ИВБО-98-20,К,М,Новосибирск
23И9852,Родион Данилович Игнатьев,ИВБО-98-20,К,М,Донецк
20И0402,Пономарев Марк Иларионович,ИВБО-98-20,К,М,Барнаул
21И6071,Лидия Сергеевна Носкова,ИВБО-98-20,К,Ж,Симферополь
23И6496,Кулаков Гедеон Владиленович,ИВБО-98-20,К,М,Чита
21И8028,Рябов Христофор Адамович,ИВБО-98-20,К,М,Екатеринбург
21И7515,Мина Ермолаевич Филатов,ИВБО-98-20,Б,М,Набережные Челны
22И9513,Остромир Брониславович Голубев,ИВБО-98-20,Б,М,Архангельск
23И6877,Ефимова Анжелика Антоновна,ИВБО-98-20,К,Ж,Омск
21И8327,Ксения Васильевна Якушева,ИВБО-98-20,Б,Ж,Пермь
21И5455,Сократ Георгиевич Архипов,ИВБО-98-20,Б,М,Мурманск
21И5383,Горбунова Анна Степановна,ИВБО-98-20,Б,Ж,Оренбург
21И1536,Самсонов Ираклий Матвеевич,ИВБО-98-20,Б,М,Краснодар
20И0898,Лобанов Ефрем Трофимович,ИВБО-98-20,Б,М,Омск
22И2899,Елена Романовна Горшкова,ИВБО-98-20,Б,Ж,Нижний Новгород
22И9429,Бобров Иннокентий Филиппович,ИВБО-98-20,К,М,Новосибирск
20И1000,Кудрявцева Агата Семеновна,ИВБО-98-20,Б,Ж,Саратов
22И9364,Кузнецов Аристарх Владиленович,ИВБО-98-20,Б,М,Брянск
20И4679,Быкова Алла Владимировна,ИВБО-98-20,К,Ж,Челябинск
21И1533,Нонна Робертовна Виноградова,ИВБО-98-20,К,Ж,Чебоксары
23И6209,Шашкова Евфросиния Геннадиевна,ИНБО-01-21,К,Ж,Набережные Челны
23И8422,Ефремова Анжела Никифоровна,ИНБО-01-21,К,Ж,Тверь
22И9890,Власов Демид Фролович,ИНБО-01-21,Б,М,Калуга
23И0646,Марфа Валентиновна Борисова,ИНБО-01-21,К,Ж,Архангельск
20И2387,Евдоким Авдеевич Щербаков,ИНБО-01-21,К,М,Курган
21И0195,Варвара Егоровна Шарова,ИНБО-01-21,К,Ж,Сургут
22И0367,Морозов Рубен Бориславович,ИНБО-01-21,К,М,Бийск
22И0887,Вероника Вадимовна Лазарева,ИНБО-01-21,Б,Ж,Барнаул
22И1884,Комарова Нина Богдановна,ИНБО-01-21,К,Ж,Красноярск
21И1986,Синклитикия Захаровна Соколова,ИНБО-01-21,Б,Ж,Москва
23И9633,Ксения Эльдаровна Козлова,ИНБО-01-21,Б,Ж,Набережные Челны
23И2855,Лучезар Борисович Носов,ИНБО-01-21,Б,М,Махачкала
21И7308,Сысоева Юлия Владимировна,ИНБО-01-21,К,Ж,Иваново
20И5305,Маргарита Николаевна Королева,ИНБО-01-21,Б,Ж,Иркутск
20И0772,Фока Гордеевич Анисимов,ИНБО-01-21,Б,М,Чита
23И4314,г-жа Егорова Елизавета Вадимовна,ИНБО-01-21,Б,Ж,Ангарск
22И5016,Эмиль Измаилович Дорофеев,ИНБО-01-21,К,М,Нижневартовск
22И3267,Брагин Феликс Денисович,ИНБО-01-21,К,М,Симферополь
22И5490,Кулагин Всеслав Дорофеевич,ИНБО-01-21,Б,М,Тверь
23И0949,Тетерина Прасковья Романовна,ИНБО-01-21,Б,Ж,Курган
21И1869,Красильникова Ирина Леонидовна,ИНБО-01-21,Б,Ж,Мариуполь
23И6228,Вера Робертовна Гордеева,ИНБО-01-21,К,Ж,Новороссийск
22И3811,Максим Валерьянович Маслов,ИНБО-01-21,Б,М,Севастополь
22И2575,Милий Богданович Федоров,ИНБО-01-21,Б,М,Хабаровск
22И8707,Аким Андреевич Попов,ИНБО-01-21,Б,М,Саранск
20И9711,Пестов Феоктист Иларионович,ИНБО-01-21,К,М,Барнаул
21И8901,Карл Владленович Лазарев,ИНБО-01-21,К,М,Рязань
22И9274,Эраст Виленович Громов,ИНБО-01-21,К,М,Архангельск
20И9716,Субботина Вера Львовна,ИНБО-01-21,К,Ж,Воронеж
23И0519,Ковалев Эрнест Гурьевич,ИНБО-01-21,К,М,Махачкала
21И4472,Денис Ярославович Суворов,ИЭБО-60-22,К,М,Саратов
23И6982,Морозова Ульяна Алексеевна,ИЭБО-60-22,К,Ж,Москва
22И7680,Эммануил Тимурович Вишняков,ИЭБО-60-22,К,М,Киров
21И7325,Тарасова Антонина Юльевна,ИЭБО-60-22,К,Ж,Таганрог
21И8105,Яковлев Софон Валерьянович,ИЭБО-60-22,Б,М,Кострома
21И2972,Панкратий Ермилович Зыков,ИЭБО-60-22,Б,М,Калининград
20И8033,Светлана Михайловна Ширяева,ИЭБО-60-22,Б,Ж,Сочи
23И4003,Игнатьева Валентина Даниловна,ИЭБО-60-22,К,Ж,Владивосток
23И0985,Елизавета Натановна Антонова,ИЭБО-60-22,Б,Ж,Барнаул
22И6069,Агата Феликсовна Пестова,ИЭБО-60-22,Б,Ж,Старый Оскол
22И3662,Киселева Валентина Петровна,ИЭБО-60-22,К,Ж,Курск
20И2724,Меркушева Мария Захаровна,ИЭБО-60-22,Б,Ж,Симферополь
23И7410,Носков Самсон Федосеевич,ИЭБО-60-22,К,М,Рязань
23И9610,Аполлон Геннадиевич Артемьев,ИЭБО-60-22,Б,М,Ангарск
23И1146,Анжела Наумовна Крылова,ИЭБО-60-22,К,Ж,Саранск
23И5551,Порфирий Давидович Трофимов,ИЭБО-60-22,Б,М,Чебоксары
23И0480,Рябов Севастьян Гертрудович,ИЭБО-60-22,К,М,Санкт-Петербург
22И7881,Брагин Гремислав Ерофеевич,ИЭБО-60-22,К,М,Иркутск
21И7464,Соколов Андрон Антонович,ИЭБО-60-22,К,М,Старый Оскол
20И4521,Любомир Артурович Сысоев,ИЭБО-60-22,Б,М,Астрахань
23И4804,Галина Ниловна Петухова,ИЭБО-60-22,К,Ж,Брянск
20И4412,Юлиан Ерофеевич Яковлев,ИЭБО-60-22,Б,М,Ангарск
23И7776,Киселева Лора Вячеславовна,ИЭБО-60-22,Б,Ж,Пенза
23И4595,Тимофеева Вера Ильинична,ИЭБО-60-22,К,Ж,Нижневартовск
23И4335,Святополк Харлампович Селиверстов,ИЭБО-60-22,К,М,Пенза
20И4382,Рожкова Екатерина Руслановна,ИЭБО-60-22,К,Ж,Старый Оскол
23И6095,Дорофеева Алина Геннадиевна,ИЭБО-60-22,К,Ж,Нижний Новгород
22И5598,Алевтина Львовна Шубина,ИЭБО-60-22,Б,Ж,Таганрог
23И5168,Роман Анатольевич Шарапов,ИЭБО-60-22,Б,М,Краснодар
23И9159,Фрол Зиновьевич Галкин,ИЭБО-60-22,К,М,Кемерово
20И4634,Куприян Якубович Козлов,ИКБО-47-23,Б,М,Сургут
22И1144,Галина Сергеевна Суханова,ИКБО-47-23,К,Ж,Владикавказ
20И6812,Мишин Симон Демидович,ИКБО-47-23,К,М,Краснодар
22И0906,Август Иосифович Константинов,ИКБО-47-23,Б,М,Тольятти
23И1645,Гостомысл Данилович Доронин,ИКБО-47-23,К,М,Калининград
23И0786,Исай Гурьевич Михайлов,ИКБО-47-23,К,М,Тверь
20И1104,Анна Даниловна Романова,ИКБО-47-23,Б,Ж,Барнаул
20И2161,Оксана Антоновна Одинцова,ИКБО-47-23,Б,Ж,Владикавказ
20И4888,Агап Иосипович Никифоров,ИКБО-47-23,Б,М,Казань
20И4363,Александрова Алина Михайловна,ИКБО-47-23,Б,Ж,Ульяновск
22И9121,Морозов Пантелеймон Абрамович,ИКБО-47-23,Б,М,Тольятти
21И9372,Зоя Игоревна Зиновьева,ИКБО-47-23,К,Ж,Калининград
22И9223,Савина Виктория Павловна,ИКБО-47-23,К,Ж,Санкт-Петербург
20И6551,Харитон Измаилович Емельянов,ИКБО-47-23,К,М,Калининград
23И3689,Зимина Александра Даниловна,ИКБО-47-23,К,Ж,Курск
21И3193,Тетерина Нинель Мироновна,ИКБО-47-23,Б,Ж,Хабаровск
21И0487,Тимофеева Лукия Эльдаровна,ИКБО-47-23,К,Ж,Казань
23И9851,Блохин Симон Гавриилович,ИКБО-47-23,К,М,Киров
21И2409,Нифонт Валерьевич Аксенов,ИКБО-47-23,К,М,Липецк
22И4226,Ираида Олеговна Кононова,ИКБО-47-23,К,Ж,Уфа
21И0598,Майя Яковлевна Субботина,ИКБО-47-23,Б,Ж,Астрахань
21И4811,Маргарита Вадимовна Яковлева,ИКБО-47-23,К,Ж,Владикавказ
23И5544,Тимофеев Андроник Фролович,ИКБО-47-23,Б,М,Курск
23И8156,Дьячкова Анна Александровна,ИКБО-47-23,К,Ж,Волгоград
21И3635,Зуева Полина Сергеевна,ИКБО-47-23,Б,Ж,Саранск
22И2180,Фёкла Феликсовна Бобылева,ИКБО-47-23,К,Ж,Новокузнецк
23И5175,Марина Вячеславовна Сысоева,ИКБО-47-23,Б,Ж,Москва
22И3520,Терентьева Вероника Александровна,ИКБО-47-23,Б,Ж,Чита
23И3153,Маркова Маргарита Игоревна,ИКБО-47-23,К,Ж,Челябинск
20И4304,Прасковья Егоровна Назарова,ИКБО-47-23,Б,Ж,Архангельск
20И6292,Нинель Тарасовна Потапова,ИКБО-24-21,Б,Ж,Челябинск
20И9595,Каллистрат Данилович Макаров,ИКБО-24-21,Б,М,Владивосток
22И9223,Рогова Анжела Андреевна,ИКБО-24-21,Б,Ж,Пермь
22И3742,Варвара Григорьевна Дьячкова,ИКБО-24-21,К,Ж,Киров
23И9314,Пелагея Рубеновна Ларионова,ИКБО-24-21,Б,Ж,Мариуполь
20И9970,Исакова Людмила Ефимовна,ИКБО-24-21,К,Ж,Липецк
23И7777,Данила Харламович Коновалов,ИКБО-24-21,К,М,Владикавказ
21И9804,Наркис Юлианович Козлов,ИКБО-24-21,Б,М,Пермь
21И1005,Будимир Феофанович Кошелев,ИКБО-24-21,Б,М,Уфа
22И1344,Валерия Эдуардовна Карпова,ИКБО-24-21,К,Ж,Уфа
21И6121,Иванов Аркадий Вячеславович,ИКБО-24-21,Б,М,Симферополь
22И1243,Радим Богданович Гаврилов,ИКБО-24-21,Б,М,Чита
23И0159,Моисеев Анисим Устинович,ИКБО-24-21,К,М,Астрахань
20И5959,Лихачева Олимпиада Руслановна,ИКБО-24-21,К,Ж,Мурманск
22И9848,Логинова Евпраксия Семеновна,ИКБО-24-21,К,Ж,Рязань
22И3682,Ипат Викентьевич Жуков,ИКБО-24-21,Б,М,Томск
23И3772,Рогов Аристарх Денисович,ИКБО-24-21,Б,М,Казань
20И0354,Глафира Геннадьевна Мясникова,ИКБО-24-21,К,Ж,Ижевск
21И4998,Ефремова Варвара Юрьевна,ИКБО-24-21,Б,Ж,Севастополь
22И6406,Фокин Милен Валерьевич,ИКБО-24-21,К,М,Липецк
23И7235,Морозов Эдуард Богданович,ИКБО-24-21,К,М,Воронеж
20И7367,Зайцев Мокей Герасимович,ИКБО-24-21,Б,М,Архангельск
21И7934,Исаева Майя Робертовна,ИКБО-24-21,К,Ж,Тольятти
21И6595,Порфирий Артурович Макаров,ИКБО-24-21,К,М,Калининград
22И0613,Георгий Трофимович Силин,ИКБО-24-21,К,М,Нижний Новгород
23И9240,Мясников Владимир Филимонович,ИКБО-24-21,Б,М,Тверь
22И1090,Вышеслав Харлампьевич Красильников,ИКБО-24-21,К,М,Рязань
23И0618,Захаров Аверкий Трофимович,ИКБО-24-21,К,М,Санкт-Петербург
23И4311,Поликарп Даниилович Новиков,ИКБО-24-21,К,М,Пенза
22И5124,Влас Витальевич Доронин,ИКБО-24-21,К,М,Архангельск
23И1354,Феофан Измаилович Устинов,ИЛБО-65-20,К,М,Самара
23И2059,Самсонова Кира Натановна,ИЛБО-65-20,Б,Ж,Пенза
21И1089,Чернов Всеслав Димитриевич,ИЛБО-65-20,Б,М,Тверь
20И4623,Самсонов Гремислав Евстигнеевич,ИЛБО-65-20,Б,М,Брянск
22И9919,г-жа Моисеева Алла Богдановна,ИЛБО-65-20,Б,Ж,Симферополь
21И8715,Тимофеев Амос Абрамович,ИЛБО-65-20,Б,М,Кострома
21И1980,Якушев Карп Бориславович,ИЛБО-65-20,К,М,Кострома
22И1199,Ия Филипповна Семенова,ИЛБО-65-20,К,Ж,Кострома
20И5116,Сысоева Ангелина Артемовна,ИЛБО-65-20,К,Ж,Москва
23И8256,Устин Геннадиевич Исаев,ИЛБО-65-20,Б,М,Новосибирск
23И3977,Николаев Спартак Антипович,ИЛБО-65-20,Б,М,Магнитогорск
20И4269,Дмитриев Руслан Тихонович,ИЛБО-65-20,Б,М,Омск
23И6932,Филатов Севастьян Гавриилович,ИЛБО-65-20,К,М,Пермь
21И0102,Журавлев Авксентий Иосифович,ИЛБО-65-20,К,М,Ростов-на-Дону
20И6470,Филатов Серафим Ермилович,ИЛБО-65-20,К,М,Бийск
23И5498,Евсеев Захар Марсович,ИЛБО-65-20,Б,М,Кемерово
21И8495,Спартак Ерофеевич Поляков,ИЛБО-65-20,К,М,Калининград
23И5177,Ермакова Ольга Геннадиевна,ИЛБО-65-20,Б,Ж,Ростов-на-Дону
22И2491,Пахомов Мечислав Андреевич,ИЛБО-65-20,К,М,Тюмень
21И1808,Семенов Ювеналий Вилорович,ИЛБО-65-20,Б,М,Уфа
23И0981,Надежда Юрьевна Беляева,ИЛБО-65-20,Б,Ж,Севастополь
23И2879,Ираклий Ярославович Михайлов,ИЛБО-65-20,Б,М,Донецк
21И1556,Субботин Федор Герасимович,ИЛБО-65-20,Б,М,Симферополь
20И7462,Александр Владленович Овчинников,ИЛБО-65-20,Б,М,Тула
21И7612,Авдеев Аким Артемьевич,ИЛБО-65-20,К,М,Москва
22И5014,Корнил Изотович Соколов,ИЛБО-65-20,К,М,Пенза
20И6818,Ширяева Лукия Андреевна,ИЛБО-65-20,Б,Ж,Ярославль
23И2607,Быкова Октябрина Макаровна,ИЛБО-65-20,Б,Ж,Уфа
20И9666,Ираида Николаевна Тихонова,ИЛБО-65-20,К,Ж,Кострома
20И1991,Алевтина Аскольдовна Ермакова,ИЛБО-65-20,К,Ж,Кемерово
23И7700,Максимильян Валентинович Гусев,ИНБО-19-23,К,М,Астрахань
22И5925,Лыткин Ярослав Иосипович,ИНБО-19-23,Б,М,Волгоград
23И2093,Борисова Екатерина Робертовна,ИНБО-19-23,К,Ж,Севастополь
22И9615,Валерия Тимофеевна Чернова,ИНБО-19-23,Б,Ж,Новосибирск
21И5701,Анна Даниловна Лапина,ИНБО-19-23,К,Ж,Краснодар
20И1625,Лазарева Элеонора Рудольфовна,ИНБО-19-23,К,Ж,Сургут
23И8327,Мария Кузьминична Медведева,ИНБО-19-23,Б,Ж,Оренбург
20И5660,Клавдия Яковлевна Кудрявцева,ИНБО-19-23,Б,Ж,Калуга
21И2867,Елена Борисовна Ширяева,ИНБО-19-23,К,Ж,Кострома
21И9735,Лора Харитоновна Сафонова,ИНБО-19-23,Б,Ж,Симферополь
23И5434,Алевтина Александровна Маслова,ИНБО-19-23,К,Ж,Томск
21И9632,Василиса Вениаминовна Титова,ИНБО-19-23,Б,Ж,Воронеж
21И4604,Алла Эдуардовна Панова,ИНБО-19-23,Б,Ж,Петрозаводск
21И8691,Мария Ефимовна Дроздова,ИНБО-19-23,К,Ж,Луганск
21И3252,Кондратий Фомич Лыткин,ИНБО-19-23,Б,М,Архангельск
22И0537,Аникей Эдуардович Никонов,ИНБО-19-23,К,М,Кострома
21И4925,Януарий Устинович Шилов,ИНБО-19-23,Б,М,Саранск
23И6793,Галина Анатольевна Авдеева,ИНБО-19-23,К,Ж,Кемерово
23И9285,Конон Артурович Прохоров,ИНБО-19-23,Б,М,Астрахань
22И7178,Степанов Любосмысл Брониславович,ИНБО-19-23,К,М,Махачкала
20И3158,Носков Богдан Валерьевич,ИНБО-19-23,Б,М,Владимир
22И9579,Щербакова Фаина Андреевна,ИНБО-19-23,Б,Ж,Омск
21И5445,Ермолай Филатович Сидоров,ИНБО-19-23,Б,М,Волгоград
21И8372,Носов Евгений Геннадиевич,ИНБО-19-23,К,М,Тольятти
21И8959,Белова Елизавета Наумовна,ИНБО-19-23,К,Ж,Смоленск
21И5328,Наталья Харитоновна Харитонова,ИНБО-19-23,К,Ж,Новороссийск
23И9793,Кудрявцева Пелагея Артемовна,ИНБО-19-23,К,Ж,Курган
21И8318,Лукин Аникита Иларионович,ИНБО-19-23,Б,М,Белгород
20И6634,Симонова Эмилия Леоновна,ИНБО-19-23,Б,Ж,Калуга
20И5793,Жданова Надежда Игоревна,ИНБО-19-23,Б,Ж,Таганрог
20И7494,Полякова Марина Феликсовна,ИМБО-29-23,К,Ж,Тольятти
20И9917,Владимиров Евсей Фёдорович,ИМБО-29-23,Б,М,Самара
22И0746,Ширяева Иванна Сергеевна,ИМБО-29-23,К,Ж,Воронеж
20И7265,Белов Спартак Авдеевич,ИМБО-29-23,Б,М,Самара
23И4377,Лебедева Ксения Михайловна,ИМБО-29-23,Б,Ж,Махачкала
22И5093,Шашкова Валерия Сергеевна,ИМБО-29-23,К,Ж,Мурманск
23И2240,Кононов Селиверст Егорович,ИМБО-29-23,Б,М,Ставрополь
21И4554,Сазонов Георгий Елисеевич,ИМБО-29-23,Б,М,Астрахань
23И7848,Пестова Ираида Григорьевна,ИМБО-29-23,К,Ж,Петрозаводск
23И9561,Авдеева Евфросиния Эдуардовна,ИМБО-29-23,К,Ж,Екатеринбург
23И1420,Галина Тарасовна Гущина,ИМБО-29-23,Б,Ж,Симферополь
21И7471,Волкова Анна Андреевна,ИМБО-29-23,К,Ж,Хабаровск
21И8681,Мокей Артёмович Селезнев,ИМБО-29-23,Б,М,Симферополь
20И4204,Зимина Маргарита Вадимовна,ИМБО-29-23,К,Ж,Уфа
22И7289,Леонтий Адрианович Карпов,ИМБО-29-23,Б,М,Старый Оскол
22И9252,Аггей Брониславович Пономарев,ИМБО-29-23,Б,М,Кострома
21И8068,Жанна Ильинична Бобылева,ИМБО-29-23,К,Ж,Владимир
21И9537,Захаров Будимир Фомич,ИМБО-29-23,Б,М,Тверь
23И2426,Надежда Романовна Зайцева,ИМБО-29-23,К,Ж,Луганск
20И8092,Савельева Ирина Ильинична,ИМБО-29-23,К,Ж,Челябинск
20И0436,Анжела Петровна Петрова,ИМБО-29-23,К,Ж,Махачкала
20И4968,Исаева Нина Геннадиевна,ИМБО-29-23,Б,Ж,Красноярск
22И1853,Цветков Максимильян Юлианович,ИМБО-29-23,К,М,Волгоград
21И2844,Моисеев Святополк Юлианович,ИМБО-29-23,К,М,Челябинск
20И6863,Фёкла Павловна Маркова,ИМБО-29-23,К,Ж,Курск
20И5724,Козлов Герман Филиппович,ИМБО-29-23,К,М,Тольятти
23И0565,Котова Лариса Макаровна,ИМБО-29-23,Б,Ж,Краснодар
23И3385,Носов Виктор Елисеевич,ИМБО-29-23,К,М,Донецк
23И8100,Тамара Николаевна Моисеева,ИМБО-29-23,К,Ж,Бийск
20И6561,Наталья Архиповна Шестакова,ИМБО-29-23,К,Ж,Иркутск
20И3175,Сафонов Юлий Тимурович,ИНБО-45-20,Б,М,Смоленск
23И1692,Евграф Афанасьевич Андреев,ИНБО-45-20,Б,М,Тверь
22И4314,Олимпиада Робертовна Рожкова,ИНБО-45-20,Б,Ж,Липецк
20И1117,г-н Филиппов Пров Еремеевич,ИНБО-45-20,К,М,Краснодар
21И5925,тов. Петухов Дементий Ефремович,ИНБО-45-20,К,М,Иркутск
20И8609,Светлана Болеславовна Гаврилова,ИНБО-45-20,К,Ж,Севастополь
22И3145,Ангелина Юльевна Сорокина,ИНБО-45-20,Б,Ж,Новороссийск
20И0910,Новикова Евдокия Владимировна,ИНБО-45-20,К,Ж,Нижневартовск
23И1105,Ирина Ефимовна Чернова,ИНБО-45-20,К,Ж,Владикавказ
21И5471,Аксенов Остап Гертрудович,ИНБО-45-20,К,М,Владивосток
21И9734,Богданова Евпраксия Станиславовна,ИНБО-45-20,К,Ж,Новороссийск
23И2527,Галактион Харлампович Федосеев,ИНБО-45-20,К,М,Ангарск
22И5251,Акулина Рудольфовна Доронина,ИНБО-45-20,К,Ж,Мурманск
20И5276,Максим Феликсович Шаров,ИНБО-45-20,К,М,Архангельск
22И4587,Трифон Бенедиктович Петров,ИНБО-45-20,Б,М,Белгород
22И3125,Михеева Жанна Романовна,ИНБО-45-20,Б,Ж,Самара
20И0800,Кондратьева Елена Рубеновна,ИНБО-45-20,К,Ж,Калининград
23И9925,Ян Игнатович Орехов,ИНБО-45-20,К,М,Челябинск
20И5467,Семенова Фёкла Станиславовна,ИНБО-45-20,Б,Ж,Сыктывкар
22И3432,Борислав Харламович Абрамов,ИНБО-45-20,К,М,Тула
21И3474,Добромысл Антонович Блохин,ИНБО-45-20,К,М,Кемерово
22И1462,Казимир Демьянович Кузьмин,ИНБО-45-20,Б,М,Кострома
21И8425,Аристарх Борисович Громов,ИНБО-45-20,К,М,Липецк
23И8522,Октябрина Яковлевна Гущина,ИНБО-45-20,К,Ж,Москва
23И7961,Александра Александровна Макарова,ИНБО-45-20,Б,Ж,Екатеринбург
21И2842,Всемил Александрович Орехов,ИНБО-45-20,Б,М,Старый Оскол
22И5834,Мечислав Яковлевич Воробьев,ИНБО-45-20,Б,М,Тверь
21И5039,Кудрявцев Митофан Фомич,ИНБО-45-20,К,М,Новороссийск
23И7503,Евдокимова Лора Дмитриевна,ИНБО-45-20,Б,Ж,Севастополь
21И2692,Наталья Антоновна Рыбакова,ИНБО-45-20,К,Ж,Липецк
22И2347,Ирина Геннадиевна Сергеева,ИВБО-28-20,Б,Ж,Воронеж
22И8328,Гостомысл Зиновьевич Калашников,ИВБО-28-20,К,М,Хабаровск
21И3074,г-н Зыков Руслан Архипович,ИВБО-28-20,Б,М,Кемерово
23И7161,Мартынов Аггей Афанасьевич,ИВБО-28-20,Б,М,Таганрог
23И4964,Ерофей Вилорович Белоусов,ИВБО-28-20,Б,М,Тула
20И5687,Ипат Игнатович Сорокин,ИВБО-28-20,Б,М,Тверь
22И3359,Давыдов Ананий Якубович,ИВБО-28-20,Б,М,Кострома
21И6564,Прокл Дмитриевич Зимин,ИВБО-28-20,К,М,Новокузнецк
23И8058,Януарий Юльевич Мухин,ИВБО-28-20,Б,М,Хабаровск
20И2819,Феврония Яковлевна Макарова,ИВБО-28-20,Б,Ж,Рязань
23И5516,Голубева Фаина Захаровна,ИВБО-28-20,Б,Ж,Мариуполь
20И8711,Беляев Амос Викторович,ИВБО-28-20,К,М,Липецк
20И7580,Синклитикия Евгеньевна Казакова,ИВБО-28-20,Б,Ж,Курган
21И4446,Мишин Демид Ефстафьевич,ИВБО-28-20,К,М,Чита
21И8389,Ефремов Мокей Терентьевич,ИВБО-28-20,Б,М,Петрозаводск
21И6503,Никодим Федотович Горбунов,ИВБО-28-20,К,М,Пенза
21И8864,Жанна Владимировна Гаврилова,ИВБО-28-20,К,Ж,Томск
22И0180,Фролова Клавдия Руслановна,ИВБО-28-20,Б,Ж,Чита
22И4225,Глеб Авдеевич Воронов,ИВБО-28-20,Б,М,Казань
20И3492,Август Бенедиктович Некрасов,ИВБО-28-20,Б,М,Брянск
22И8185,Ульяна Дмитриевна Мухина,ИВБО-28-20,К,Ж,Ижевск
23И3065,Беляков Варлаам Демьянович,ИВБО-28-20,Б,М,Белгород
20И4167,Белякова Ольга Валериевна,ИВБО-28-20,К,Ж,Оренбург
22И2153,г-жа Казакова София Даниловна,ИВБО-28-20,К,Ж,Ульяновск
20И1850,Яковлев Афиноген Фомич,ИВБО-28-20,К,М,Ульяновск
22И0968,Амос Матвеевич Зимин,ИВБО-28-20,К,М,Уфа
22И3184,Мартьян Измаилович Рябов,ИВБО-28-20,Б,М,Тольятти
21И7786,Козлова Агата Афанасьевна,ИВБО-28-20,Б,Ж,Москва
21И0406,Антонина Матвеевна Алексеева,ИВБО-28-20,Б,Ж,Ижевск
21И7098,Якушева Лукия Владиславовна,ИВБО-28-20,К,Ж,Таганрог
20И4456,Данилова Анжелика Феликсовна,ИКБО-19-21,Б,Ж,Чебоксары
22И2113,Татьяна Ждановна Александрова,ИКБО-19-21,Б,Ж,Ангарск
21И0290,Одинцова Эмилия Ниловна,ИКБО-19-21,Б,Ж,Ярославль
21И1107,Ангелина Александровна Селезнева,ИКБО-19-21,Б,Ж,Санкт-Петербург
21И6691,Доброслав Артурович Емельянов,ИКБО-19-21,К,М,Хабаровск
21И7511,Никандр Даниилович Данилов,ИКБО-19-21,К,М,Кемерово
22И7999,Кудряшова Евдокия Сергеевна,ИКБО-19-21,Б,Ж,Красноярск
21И0699,Фомина Феврония Эльдаровна,ИКБО-19-21,К,Ж,Воронеж
22И8334,Аникита Харлампович Маслов,ИКБО-19-21,Б,М,Оренбург
21И4525,Евсеева Валентина Матвеевна,ИКБО-19-21,К,Ж,Владикавказ
22И1753,Ирина Семеновна Давыдова,ИКБО-19-21,Б,Ж,Ангарск
22И2866,Маркова Марина Захаровна,ИКБО-19-21,Б,Ж,Нижний Новгород
20И2088,Рогова Полина Борисовна,ИКБО-19-21,Б,Ж,Владикавказ
22И6416,Новикова Акулина Аркадьевна,ИКБО-19-21,Б,Ж,Сургут
23И9051,Федосий Васильевич Тарасов,ИКБО-19-21,Б,М,Луганск
22И8226,Максимов Ипат Марсович,ИКБО-19-21,К,М,Чита
22И4473,Галкина Валентина Георгиевна,ИКБО-19-21,К,Ж,Иркутск
